EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:47:04	0	0.1000	0.2775978598168823	0.0937270000576973	0.8569	0.8543	0.8556	0.7943
2	18:49:10	0	0.1000	0.1516346935023886	0.06634064763784409	0.8871	0.8817	0.8844	0.8394
3	18:51:14	0	0.1000	0.1294803648195411	0.05845102667808533	0.8961	0.8946	0.8954	0.8537
4	18:53:18	0	0.1000	0.12094329376146859	0.054447147995233536	0.9013	0.8958	0.8985	0.8573
5	18:55:22	1	0.1000	0.11512248422506441	0.05503372848033905	0.9059	0.8909	0.8983	0.8544
6	18:56:59	0	0.1000	0.10976468491890035	0.05237722769379616	0.9071	0.9	0.9036	0.8635
7	18:59:08	0	0.1000	0.10792169751478886	0.05043410137295723	0.9082	0.9033	0.9057	0.8687
8	19:01:12	0	0.1000	0.10696886379790913	0.05040852725505829	0.917	0.9073	0.9121	0.8753
9	19:03:15	1	0.1000	0.1042966423964627	0.049666877835989	0.9117	0.9043	0.908	0.8713
10	19:04:52	2	0.1000	0.10147741770766118	0.048898957669734955	0.9114	0.9033	0.9073	0.8707
11	19:06:28	0	0.1000	0.09879391252840986	0.04450652375817299	0.9168	0.9124	0.9146	0.8809
12	19:08:37	1	0.1000	0.09773402121348079	0.0452842116355896	0.9141	0.9104	0.9122	0.8771
13	19:10:13	2	0.1000	0.0980714276221238	0.04548106715083122	0.9128	0.9099	0.9113	0.877
14	19:11:50	3	0.1000	0.0965350138283698	0.04766526445746422	0.9123	0.9109	0.9116	0.8771
15	19:13:26	4	0.1000	0.09579742789228285	0.046442657709121704	0.918	0.9088	0.9134	0.8798
16	19:15:07	0	0.0500	0.085848448887429	0.04196852073073387	0.9201	0.9155	0.9178	0.8841
17	19:17:10	1	0.0500	0.08456072336248638	0.0439804345369339	0.9188	0.9143	0.9165	0.8829
18	19:18:46	0	0.0500	0.0831715539331246	0.040222834795713425	0.9237	0.9195	0.9216	0.8891
19	19:20:48	1	0.0500	0.08332778438440248	0.041325848549604416	0.9176	0.9136	0.9156	0.8822
20	19:22:22	2	0.0500	0.08231724135995175	0.039286766201257706	0.9228	0.919	0.9209	0.8893
21	19:24:00	3	0.0500	0.0817830206129746	0.041712164878845215	0.9212	0.9173	0.9193	0.8873
22	19:25:31	4	0.0500	0.0813697632529929	0.041147734969854355	0.9218	0.9168	0.9193	0.8875
23	19:27:02	1	0.0250	0.07734818235647581	0.040420420467853546	0.924	0.9168	0.9204	0.8878
24	19:28:33	2	0.0250	0.076139052719433	0.040557291358709335	0.9239	0.9171	0.9205	0.8883
25	19:30:11	3	0.0250	0.07651601247047117	0.039854079484939575	0.9233	0.9175	0.9204	0.8892
26	19:31:42	4	0.0250	0.07702248787606872	0.03877605125308037	0.9233	0.918	0.9206	0.8891
27	19:33:13	1	0.0125	0.07379809264908471	0.038723647594451904	0.9225	0.9177	0.9201	0.8873
28	19:34:45	2	0.0125	0.07370537883638062	0.03831225633621216	0.9226	0.9185	0.9205	0.8894
29	19:36:16	3	0.0125	0.07347706396410619	0.038860250264406204	0.9235	0.918	0.9207	0.8892
30	19:37:53	4	0.0125	0.07200476771134273	0.038431618362665176	0.9216	0.916	0.9188	0.8856
31	19:39:25	1	0.0063	0.07281648901341767	0.03821925073862076	0.9231	0.9178	0.9205	0.8889
32	19:40:57	2	0.0063	0.0720024607711807	0.038280170410871506	0.923	0.9178	0.9204	0.8885
33	19:42:28	3	0.0063	0.07149683987626915	0.03855392336845398	0.9219	0.9156	0.9187	0.8858
34	19:43:59	4	0.0063	0.07316177637361782	0.03836461901664734	0.9233	0.9182	0.9207	0.8888
35	19:45:36	1	0.0031	0.07142085048465173	0.03829406201839447	0.9242	0.9175	0.9208	0.8889
36	19:47:07	2	0.0031	0.07192155913656956	0.03804274648427963	0.9233	0.9182	0.9207	0.8885
37	19:48:39	3	0.0031	0.07141105285130453	0.038006678223609924	0.924	0.9183	0.9211	0.8894
38	19:50:11	4	0.0031	0.07244030440859535	0.03834991902112961	0.9239	0.9178	0.9209	0.8886
39	19:51:48	1	0.0016	0.07165702005256835	0.03808765485882759	0.9246	0.9185	0.9215	0.8897
40	19:53:19	2	0.0016	0.07116149217004698	0.03832525387406349	0.9237	0.9171	0.9204	0.8881
41	19:54:50	0	0.0016	0.07156482479418418	0.038238439708948135	0.9253	0.919	0.9221	0.8906
42	19:56:49	1	0.0016	0.07064449052946284	0.03821898251771927	0.9242	0.9178	0.921	0.8889
43	19:58:20	2	0.0016	0.06945716284941944	0.03816967085003853	0.924	0.9182	0.9211	0.8889
44	19:59:57	3	0.0016	0.07082729674045514	0.03825182467699051	0.9232	0.917	0.9201	0.8878
45	20:01:29	4	0.0016	0.07119882569417965	0.03815557062625885	0.9236	0.9178	0.9207	0.8891
46	20:03:00	1	0.0008	0.07116718433305928	0.03821621835231781	0.9238	0.9177	0.9207	0.8886
47	20:04:32	2	0.0008	0.06966735994693976	0.038183074444532394	0.9239	0.9173	0.9206	0.8886
48	20:06:06	3	0.0008	0.07020706459978576	0.038098182529211044	0.9236	0.9173	0.9204	0.8887
49	20:07:43	4	0.0008	0.07088075676688445	0.03818883001804352	0.9239	0.9171	0.9205	0.8885
50	20:09:15	1	0.0004	0.07024185368707135	0.038089584559202194	0.9232	0.917	0.9201	0.8882
51	20:10:47	2	0.0004	0.06974217020928657	0.03814779594540596	0.9236	0.9171	0.9203	0.8883
52	20:12:19	3	0.0004	0.07073522023041351	0.03806604444980621	0.9239	0.9175	0.9207	0.8886
53	20:13:55	4	0.0004	0.0707283489381306	0.03804625943303108	0.9241	0.9178	0.9209	0.8891
54	20:15:27	1	0.0002	0.07130869357021477	0.038065046072006226	0.9241	0.9177	0.9209	0.8889
55	20:16:59	2	0.0002	0.07066877605732474	0.038068175315856934	0.9242	0.9178	0.921	0.8892
56	20:18:31	3	0.0002	0.07007835810478658	0.0380898080766201	0.9242	0.9177	0.9209	0.8889
57	20:20:03	4	0.0002	0.06939161615124109	0.038107044994831085	0.9241	0.9177	0.9209	0.8887
