EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:05:06	0	0.1000	0.31266227757438564	0.38869932293891907	0.8816	0.0802	0.1471	0.0796
2	15:05:56	0	0.1000	0.18749889274656764	0.32646167278289795	0.7782	0.2395	0.3663	0.2296
3	15:06:50	0	0.1000	0.15562151497333562	0.310891717672348	0.8462	0.2371	0.3704	0.2294
4	15:07:35	0	0.1000	0.1370159911136393	0.2470768690109253	0.8368	0.2886	0.4292	0.2773
5	15:08:29	0	0.1000	0.12518364206828247	0.2302262932062149	0.7867	0.3401	0.4749	0.3184
6	15:09:17	1	0.1000	0.11585469670830095	0.24248744547367096	0.7937	0.3042	0.4398	0.2883
7	15:09:54	2	0.1000	0.10735440162234228	0.21301952004432678	0.7252	0.3509	0.473	0.3238
8	15:10:23	0	0.1000	0.09976567968158427	0.215562641620636	0.7748	0.3461	0.4785	0.3218
9	15:11:14	0	0.1000	0.09336227010772233	0.20192274451255798	0.7155	0.3976	0.5112	0.3585
10	15:12:06	1	0.1000	0.08801295363920149	0.21576838195323944	0.7583	0.3569	0.4853	0.3307
11	15:12:44	2	0.1000	0.0826917668079125	0.22107478976249695	0.7881	0.3341	0.4693	0.3149
12	15:13:21	3	0.1000	0.07914882461058928	0.19802746176719666	0.7254	0.3796	0.4984	0.3468
13	15:13:58	4	0.1000	0.07486986512680212	0.20551970601081848	0.7481	0.3629	0.4887	0.3341
14	15:14:37	1	0.0500	0.06522160509870552	0.2229790985584259	0.7666	0.3461	0.4769	0.3244
15	15:15:15	2	0.0500	0.06385754038419865	0.21921804547309875	0.7927	0.3617	0.4967	0.3386
16	15:15:52	3	0.0500	0.06025740120108002	0.21610461175441742	0.7413	0.3569	0.4818	0.3275
17	15:16:28	0	0.0500	0.058522627940117866	0.20655332505702972	0.7265	0.3976	0.5139	0.3597
18	15:17:13	1	0.0500	0.0565311946957073	0.22003205120563507	0.7167	0.3605	0.4797	0.329
19	15:17:50	2	0.0500	0.052530921073729926	0.21327391266822815	0.7241	0.3677	0.4877	0.3366
20	15:18:19	3	0.0500	0.05116275524040282	0.19680467247962952	0.7184	0.388	0.5039	0.3526
21	15:18:54	4	0.0500	0.05228406485617303	0.22469498217105865	0.7429	0.3425	0.4689	0.3171
22	15:19:31	0	0.0250	0.04528667365423367	0.20402634143829346	0.7172	0.4251	0.5338	0.3809
23	15:20:22	1	0.0250	0.045789249468207	0.20648585259914398	0.7133	0.3904	0.5046	0.3528
24	15:20:59	2	0.0250	0.043650528652216095	0.21150237321853638	0.7171	0.3916	0.5066	0.3547
25	15:21:37	3	0.0250	0.041886250687314434	0.2266586422920227	0.7487	0.3569	0.4834	0.3304
26	15:22:07	4	0.0250	0.04078073937908497	0.22597357630729675	0.7296	0.3749	0.4953	0.3432
27	15:22:42	1	0.0125	0.039746104939292155	0.22073504328727722	0.7226	0.3868	0.5039	0.3538
28	15:23:18	2	0.0125	0.03908979846742114	0.23301760852336884	0.7302	0.376	0.4964	0.3451
29	15:23:45	3	0.0125	0.04016653505140147	0.22891482710838318	0.7275	0.3772	0.4968	0.345
30	15:24:22	4	0.0125	0.0368431729827983	0.22122640907764435	0.713	0.3868	0.5016	0.3503
31	15:24:54	1	0.0063	0.03825569657566406	0.21813032031059265	0.7065	0.3892	0.5019	0.3517
32	15:25:23	2	0.0063	0.03756422896942377	0.2270907610654831	0.7447	0.3772	0.5008	0.3485
33	15:26:02	3	0.0063	0.036222071915974215	0.2283170372247696	0.74	0.3784	0.5008	0.3484
34	15:26:44	4	0.0063	0.035962840827785	0.2279369980096817	0.7229	0.3749	0.4937	0.3432
35	15:27:25	1	0.0031	0.03621178457806522	0.22487854957580566	0.7283	0.382	0.5012	0.3498
36	15:28:05	2	0.0031	0.035684672105869154	0.22455324232578278	0.7171	0.3856	0.5016	0.3511
37	15:28:46	3	0.0031	0.03532257104402673	0.22135238349437714	0.7181	0.3904	0.5058	0.3555
38	15:29:28	4	0.0031	0.03524248149621891	0.2298409342765808	0.731	0.3808	0.5008	0.3502
39	15:30:09	1	0.0016	0.036573306229170405	0.22947505116462708	0.7273	0.3832	0.502	0.3513
40	15:30:40	2	0.0016	0.034801990685994294	0.2247672975063324	0.7226	0.3868	0.5039	0.3534
41	15:31:14	3	0.0016	0.033617992817680936	0.22532537579536438	0.724	0.3832	0.5012	0.3505
42	15:31:51	4	0.0016	0.03431337813564832	0.22735799849033356	0.7201	0.382	0.4992	0.3486
43	15:32:29	1	0.0008	0.03531268019625279	0.22599196434020996	0.7191	0.3832	0.5	0.3497
44	15:33:07	2	0.0008	0.03409812534404641	0.22638989984989166	0.7213	0.3844	0.5016	0.3512
45	15:33:39	3	0.0008	0.034107236833297215	0.2263110876083374	0.7258	0.3868	0.5047	0.3538
46	15:34:11	4	0.0008	0.03382415747159827	0.22732597589492798	0.723	0.3844	0.502	0.3516
47	15:34:48	1	0.0004	0.03533437963917783	0.2261672019958496	0.7226	0.3868	0.5039	0.3534
48	15:35:25	2	0.0004	0.03419964335931273	0.22546328604221344	0.7226	0.3868	0.5039	0.3534
49	15:36:02	3	0.0004	0.03414918938151353	0.22630003094673157	0.7285	0.3856	0.5043	0.3538
50	15:36:39	4	0.0004	0.03289415167029083	0.2263263463973999	0.7285	0.3856	0.5043	0.3538
51	15:37:17	1	0.0002	0.034644062097574674	0.2263316810131073	0.7291	0.3868	0.5055	0.3549
52	15:37:55	2	0.0002	0.0346184138075009	0.22633135318756104	0.7291	0.3868	0.5055	0.3549
53	15:38:33	3	0.0002	0.03382385195527334	0.22664864361286163	0.7279	0.3844	0.5031	0.3527
54	15:39:10	4	0.0002	0.035111100233173174	0.22626084089279175	0.7279	0.3844	0.5031	0.3527
