EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:50:41	0	0.1000	0.24233033501167825	0.06925281137228012	0.8902	0.9005	0.8953	0.8414
2	15:55:12	0	0.1000	0.09254685134103374	0.046240318566560745	0.9247	0.9384	0.9315	0.895
3	15:59:45	0	0.1000	0.06946905021490514	0.04088485985994339	0.934	0.9364	0.9352	0.9034
4	16:04:10	0	0.1000	0.060115995147295875	0.03274167329072952	0.9447	0.9482	0.9464	0.9194
5	16:08:31	0	0.1000	0.051896080325112004	0.031294818967580795	0.9439	0.9519	0.9479	0.9201
6	16:12:46	1	0.1000	0.047429596530415466	0.03078649193048477	0.9439	0.949	0.9465	0.9177
7	16:16:26	0	0.1000	0.04428827919535531	0.02923096902668476	0.9526	0.9534	0.953	0.9267
8	16:20:54	1	0.1000	0.041393114046414194	0.028532201424241066	0.9516	0.9525	0.9521	0.9292
9	16:24:57	0	0.1000	0.03855023874551186	0.02712177485227585	0.959	0.9534	0.9562	0.933
10	16:29:28	1	0.1000	0.03683552819415522	0.027637053281068802	0.9582	0.9493	0.9538	0.9283
11	16:33:15	0	0.1000	0.034899834138043706	0.02585912123322487	0.9558	0.9598	0.9578	0.9358
12	16:37:41	1	0.1000	0.033488820384183424	0.026833731681108475	0.9537	0.9605	0.9571	0.9347
13	16:41:53	2	0.1000	0.03174707817495307	0.027951886877417564	0.9513	0.9561	0.9537	0.9287
14	16:46:18	3	0.1000	0.03163677707632157	0.026722310110926628	0.955	0.9562	0.9556	0.9338
15	16:50:47	4	0.1000	0.030879772504240663	0.025553083047270775	0.9556	0.9589	0.9572	0.9347
16	16:54:48	1	0.0500	0.027038285105323072	0.026938749477267265	0.9557	0.9584	0.9571	0.9359
17	16:59:21	0	0.0500	0.024111040002137134	0.027202187106013298	0.957	0.9594	0.9582	0.9366
18	17:03:54	1	0.0500	0.023855799092374074	0.025690903887152672	0.9567	0.9584	0.9575	0.9358
19	17:07:31	0	0.0500	0.02246556092792948	0.02636788785457611	0.9585	0.9594	0.959	0.9375
20	17:11:46	1	0.0500	0.021958391530762233	0.027776962146162987	0.9551	0.9584	0.9567	0.935
21	17:15:48	0	0.0500	0.021629588111336993	0.02607184648513794	0.9584	0.9605	0.9594	0.9385
22	17:20:15	1	0.0500	0.020604419945543514	0.026133300736546516	0.9574	0.9596	0.9585	0.9375
23	17:23:58	2	0.0500	0.02065335261682297	0.026696251705288887	0.9577	0.9594	0.9586	0.937
24	17:28:03	0	0.0500	0.020292364816218524	0.02671058289706707	0.9581	0.9616	0.9599	0.939
25	17:33:06	1	0.0500	0.0196371759084432	0.026891164481639862	0.9589	0.9591	0.959	0.9376
26	17:36:48	2	0.0500	0.01917965226933596	0.02757967822253704	0.9574	0.9605	0.9589	0.9374
27	17:40:18	3	0.0500	0.01894470479491438	0.026525866240262985	0.9574	0.9596	0.9585	0.9374
28	17:43:56	4	0.0500	0.018455606031199435	0.026859942823648453	0.9584	0.9606	0.9595	0.9382
29	17:48:04	1	0.0250	0.016884027213196044	0.027234124019742012	0.9587	0.9601	0.9594	0.9377
30	17:52:41	0	0.0250	0.016765860081140897	0.02773561142385006	0.9592	0.9615	0.9603	0.9399
31	17:56:38	1	0.0250	0.016150781857227705	0.02779759094119072	0.9595	0.961	0.9602	0.9399
32	18:00:02	0	0.0250	0.015636533507359447	0.027371780946850777	0.9595	0.9613	0.9604	0.9401
33	18:03:56	1	0.0250	0.015442520197768334	0.028476033359766006	0.9581	0.9618	0.9599	0.9397
34	18:07:46	2	0.0250	0.015614085893542825	0.028193864971399307	0.9583	0.9588	0.9585	0.9373
35	18:11:13	3	0.0250	0.014531604645803697	0.028415439650416374	0.9588	0.9606	0.9597	0.9393
36	18:15:25	4	0.0250	0.014350022318482453	0.028343502432107925	0.9587	0.9605	0.9596	0.9387
37	18:19:29	1	0.0125	0.014189220951104956	0.028273694217205048	0.959	0.9605	0.9597	0.9391
38	18:23:03	2	0.0125	0.01404358834185438	0.028394637629389763	0.9583	0.9598	0.9591	0.9383
39	18:26:35	3	0.0125	0.014290956057489722	0.02801361493766308	0.9595	0.9608	0.9601	0.9401
40	18:29:45	0	0.0125	0.013584251851166122	0.0285223126411438	0.96	0.9613	0.9606	0.9409
41	18:34:13	1	0.0125	0.013380545931887535	0.0285759549587965	0.9588	0.9598	0.9593	0.9385
42	18:37:23	2	0.0125	0.01360296873816097	0.028820745646953583	0.9587	0.9603	0.9595	0.9393
43	18:40:11	3	0.0125	0.013555751055506875	0.029101436957716942	0.9579	0.9599	0.9589	0.938
44	18:42:45	4	0.0125	0.012879858165356582	0.028586283326148987	0.96	0.961	0.9605	0.9401
45	18:45:14	1	0.0063	0.012597314087690402	0.028692156076431274	0.9593	0.9611	0.9602	0.9396
46	18:47:48	2	0.0063	0.0128206880741548	0.028642989695072174	0.9587	0.9606	0.9597	0.939
47	18:50:29	3	0.0063	0.012824810252799206	0.028874194249510765	0.9585	0.9596	0.959	0.938
48	18:53:01	4	0.0063	0.013258900487829172	0.028564130887389183	0.9588	0.9603	0.9596	0.9386
49	18:55:45	1	0.0031	0.012165423978986713	0.028808267787098885	0.9585	0.9606	0.9596	0.9387
50	18:58:15	2	0.0031	0.012563483938025194	0.029049795120954514	0.959	0.961	0.96	0.9393
51	19:00:44	3	0.0031	0.011992091976207674	0.02909773960709572	0.959	0.961	0.96	0.9393
52	19:03:53	4	0.0031	0.012726136944130774	0.029029356315732002	0.9592	0.961	0.9601	0.9393
53	19:06:46	1	0.0016	0.012430689277725941	0.02907353825867176	0.959	0.9608	0.9599	0.9391
54	19:09:17	2	0.0016	0.012104125965224718	0.02895897999405861	0.9595	0.9611	0.9603	0.9399
55	19:11:54	3	0.0016	0.012570834400755621	0.029036201536655426	0.959	0.9608	0.9599	0.9394
56	19:14:18	4	0.0016	0.012700011115322242	0.028805691748857498	0.959	0.9608	0.9599	0.9394
