EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:41:35	0	0.1000	0.26257584062799033	0.08216696977615356	0.8761	0.8864	0.8812	0.8217
2	00:44:02	0	0.1000	0.10046778230245164	0.05506512522697449	0.9179	0.9159	0.9169	0.8814
3	00:46:26	0	0.1000	0.07604005658235596	0.043390557169914246	0.9278	0.9323	0.9301	0.8966
4	00:48:53	0	0.1000	0.0655667958877776	0.037816278636455536	0.9341	0.9371	0.9356	0.9048
5	00:51:28	0	0.1000	0.05890754279351325	0.03349810838699341	0.9411	0.9392	0.9402	0.909
6	00:53:59	0	0.1000	0.0523065658958923	0.03270839899778366	0.9405	0.9445	0.9425	0.9142
7	00:56:32	0	0.1000	0.047510568578616665	0.030956119298934937	0.9451	0.9498	0.9475	0.9194
8	00:59:05	0	0.1000	0.04387801023587321	0.02894134633243084	0.9489	0.9498	0.9494	0.9248
9	01:01:43	1	0.1000	0.04365650220954504	0.029242880642414093	0.9461	0.9475	0.9468	0.9228
10	01:03:16	2	0.1000	0.03956510027124365	0.029687579721212387	0.9434	0.9505	0.9469	0.9214
11	01:05:34	0	0.1000	0.038368373570379755	0.029143135994672775	0.9482	0.9519	0.95	0.9265
12	01:08:10	1	0.1000	0.03724424328085359	0.028894120827317238	0.9472	0.9482	0.9477	0.9233
13	01:10:23	0	0.1000	0.03535248670820562	0.02824421599507332	0.9483	0.9536	0.9509	0.9282
14	01:12:48	1	0.1000	0.033355662318152485	0.02912048250436783	0.9486	0.9532	0.9509	0.9273
15	01:15:00	0	0.1000	0.03291609056415502	0.027987778186798096	0.9498	0.9552	0.9525	0.9296
16	01:17:35	0	0.1000	0.03179082410958268	0.02725241705775261	0.9538	0.9546	0.9542	0.9314
17	01:20:08	1	0.1000	0.031704044730378675	0.03042188286781311	0.9429	0.9525	0.9477	0.923
18	01:22:24	2	0.1000	0.02998595372997447	0.029143579304218292	0.9495	0.9561	0.9528	0.929
19	01:24:34	0	0.1000	0.02958924893418171	0.02690061740577221	0.955	0.9541	0.9545	0.9319
20	01:27:07	1	0.1000	0.027683955050484682	0.029304279014468193	0.9491	0.9539	0.9515	0.929
21	01:29:19	2	0.1000	0.028057116048012386	0.02918314002454281	0.9516	0.9569	0.9543	0.9318
22	01:31:33	3	0.1000	0.027858543756828447	0.029672255739569664	0.9503	0.9557	0.953	0.9305
23	01:33:49	0	0.1000	0.026756544816689033	0.028980014845728874	0.952	0.9576	0.9548	0.9334
24	01:36:23	1	0.1000	0.027052784337619214	0.028149180114269257	0.9529	0.9534	0.9531	0.9313
25	01:38:29	0	0.1000	0.02633690488247738	0.02761249616742134	0.955	0.9567	0.9559	0.9346
26	01:40:59	1	0.1000	0.025309546734688392	0.02940753847360611	0.9506	0.9579	0.9542	0.9327
27	01:43:15	2	0.1000	0.024895316712403515	0.027682356536388397	0.95	0.9561	0.953	0.9313
28	01:45:34	3	0.1000	0.024568010476854772	0.028693463653326035	0.9503	0.9554	0.9528	0.9311
29	01:47:44	4	0.1000	0.02428257168456728	0.028829189017415047	0.9548	0.9556	0.9552	0.9339
30	01:49:54	0	0.0500	0.02118480694512678	0.027087870985269547	0.9547	0.9584	0.9566	0.9365
31	01:52:27	1	0.0500	0.020333968506879775	0.02681366354227066	0.9527	0.9569	0.9548	0.9334
32	01:54:44	0	0.0500	0.01892409986894575	0.028015119954943657	0.9548	0.9588	0.9568	0.9367
33	01:57:20	1	0.0500	0.01984924732025449	0.02800562046468258	0.9542	0.9574	0.9558	0.9349
34	01:59:31	2	0.0500	0.018464071176863814	0.028287619352340698	0.9536	0.9573	0.9554	0.9355
35	02:01:44	0	0.0500	0.018175967409210673	0.029378147795796394	0.9559	0.9584	0.9571	0.937
36	02:04:09	0	0.0500	0.01775337965182251	0.02897305227816105	0.9562	0.9596	0.9579	0.9384
37	02:06:38	0	0.0500	0.017595995730463613	0.028653142973780632	0.957	0.9594	0.9582	0.9381
