EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:31:40	0	0.1000	0.23246012912215	0.07262841612100601	0.894	0.8925	0.8932	0.8397
2	21:35:19	0	0.1000	0.09396635172267064	0.04703604057431221	0.9258	0.9254	0.9256	0.8927
3	21:38:57	0	0.1000	0.07240285034594411	0.04161500185728073	0.9275	0.932	0.9297	0.8973
4	21:42:30	0	0.1000	0.06131592865013358	0.03427426889538765	0.9358	0.945	0.9404	0.91
5	21:46:05	0	0.1000	0.052540163577596215	0.03671037033200264	0.9438	0.9419	0.9429	0.9131
6	21:49:37	1	0.1000	0.04888151401611392	0.03413422033190727	0.9411	0.9418	0.9415	0.9118
7	21:52:22	0	0.1000	0.04532132771598058	0.030460478737950325	0.9443	0.9467	0.9455	0.9193
8	21:56:11	0	0.1000	0.04163799043375765	0.028283335268497467	0.9483	0.95	0.9491	0.9257
9	21:59:28	1	0.1000	0.04000616562876558	0.028667092323303223	0.9454	0.9495	0.9474	0.9222
10	22:02:20	2	0.1000	0.03817687008756605	0.03123747743666172	0.9412	0.9504	0.9457	0.9199
11	22:05:29	3	0.1000	0.035593909249284766	0.02961760200560093	0.9439	0.951	0.9474	0.9213
12	22:08:30	0	0.1000	0.034712260688315136	0.02775142900645733	0.9479	0.9515	0.9497	0.9263
13	22:12:16	0	0.1000	0.03443461333878387	0.027858808636665344	0.95	0.9495	0.9498	0.9252
14	22:15:33	0	0.1000	0.03130360741758813	0.028084304183721542	0.9512	0.9537	0.9524	0.9298
15	22:18:49	1	0.1000	0.031035566749295463	0.026180308312177658	0.9506	0.9524	0.9515	0.9277
16	22:22:07	2	0.1000	0.030722290123200772	0.027900855988264084	0.9491	0.9544	0.9517	0.9278
17	22:25:24	3	0.1000	0.029186193787327317	0.027842842042446136	0.9484	0.9556	0.952	0.9276
18	22:28:21	0	0.1000	0.028421048091441314	0.02811804972589016	0.9525	0.9544	0.9534	0.9304
19	22:31:49	0	0.1000	0.028073517640690458	0.0274997316300869	0.9536	0.9537	0.9536	0.9298
