EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:43:36	0	0.1000	0.23702318440968836	0.07810613512992859	0.8697	0.8714	0.8705	0.8239
2	23:45:41	0	0.1000	0.09655635212978052	0.05347142368555069	0.9055	0.9113	0.9084	0.8744
3	23:47:57	0	0.1000	0.07183784274853257	0.04863772913813591	0.9139	0.9187	0.9163	0.8862
4	23:50:14	0	0.1000	0.062334165851110214	0.04057728126645088	0.9149	0.9249	0.9199	0.8922
5	23:52:31	0	0.1000	0.05434247579567452	0.03592454642057419	0.9312	0.9381	0.9346	0.9063
6	23:54:47	0	0.1000	0.049579236312629234	0.033130962401628494	0.9425	0.9406	0.9415	0.9171
7	23:57:04	1	0.1000	0.04383051686611233	0.03307318687438965	0.9399	0.9429	0.9414	0.9179
8	23:59:07	2	0.1000	0.040640515097513895	0.031885210424661636	0.9382	0.9433	0.9408	0.9163
9	00:00:51	3	0.1000	0.03911403021668176	0.03346613049507141	0.9374	0.9419	0.9396	0.9168
10	00:02:51	0	0.1000	0.03641321791404986	0.03343468904495239	0.9423	0.9424	0.9424	0.9186
11	00:04:56	0	0.1000	0.034201742468543316	0.03186516463756561	0.9442	0.9456	0.9449	0.9227
12	00:07:13	1	0.1000	0.03156850155316626	0.0320637971162796	0.9406	0.944	0.9423	0.9194
13	00:09:17	0	0.1000	0.030732802036779208	0.03212651610374451	0.9496	0.9475	0.9485	0.926
14	00:11:36	1	0.1000	0.028432435997817952	0.03157952427864075	0.9465	0.9473	0.9469	0.9251
15	00:13:23	2	0.1000	0.02787998946880026	0.03171039745211601	0.9435	0.9468	0.9451	0.9231
16	00:15:21	3	0.1000	0.027076667075877036	0.031644102185964584	0.9458	0.9485	0.9471	0.9248
17	00:17:07	4	0.1000	0.025707592372318726	0.0334506556391716	0.9392	0.9461	0.9427	0.9195
18	00:19:08	1	0.0500	0.02128535397136085	0.033833328634500504	0.947	0.9498	0.9484	0.9274
19	00:21:04	0	0.0500	0.021597730138918424	0.031928688287734985	0.9507	0.9542	0.9525	0.932
20	00:23:16	1	0.0500	0.01995091201304921	0.03252163529396057	0.9489	0.9493	0.9491	0.9276
21	00:25:08	2	0.0500	0.018694349872230124	0.03265712782740593	0.9498	0.9515	0.9507	0.9295
22	00:27:03	3	0.0500	0.018735562111068745	0.03183432295918465	0.9515	0.9517	0.9516	0.9303
23	00:29:06	4	0.0500	0.017520580388622677	0.03221789002418518	0.9501	0.9524	0.9513	0.9298
24	00:31:03	1	0.0250	0.016708304728707466	0.033791545778512955	0.9492	0.953	0.9511	0.9293
25	00:33:00	2	0.0250	0.015641229735780332	0.03334752470254898	0.9501	0.952	0.9511	0.93
26	00:35:01	3	0.0250	0.015260473618133057	0.03478727862238884	0.9468	0.95	0.9484	0.9266
27	00:36:56	4	0.0250	0.014884306318345579	0.033836305141448975	0.9495	0.9515	0.9505	0.929
28	00:38:54	1	0.0125	0.013861057221243528	0.034506991505622864	0.949	0.9527	0.9509	0.9291
29	00:40:55	0	0.0125	0.01352746866132184	0.03450736030936241	0.9512	0.9542	0.9527	0.9304
30	00:43:03	0	0.0125	0.013682085567282051	0.034548018127679825	0.9516	0.9539	0.9528	0.9315
31	00:45:16	1	0.0125	0.014211462694679494	0.034277163445949554	0.9505	0.953	0.9518	0.93
32	00:47:09	0	0.0125	0.01362322040272869	0.03495214134454727	0.953	0.9546	0.9538	0.9326
33	00:49:28	1	0.0125	0.012627605656093114	0.03479563817381859	0.9517	0.9525	0.9521	0.9308
34	00:51:26	0	0.0125	0.012845450982288198	0.0344686433672905	0.954	0.9564	0.9552	0.9349
35	00:53:43	1	0.0125	0.013129511339041732	0.03492889925837517	0.9516	0.952	0.9518	0.9307
36	00:55:38	2	0.0125	0.012975307963741708	0.03464243561029434	0.9517	0.9554	0.9536	0.9323
37	00:57:37	3	0.0125	0.013185500884184643	0.03479347750544548	0.952	0.9539	0.9529	0.9319
38	00:59:38	4	0.0125	0.011579068532559016	0.035130906850099564	0.9523	0.9542	0.9533	0.9332
39	01:01:36	1	0.0063	0.013202577969946888	0.035197664052248	0.9513	0.9534	0.9523	0.9307
40	01:03:34	2	0.0063	0.011558927858904418	0.035249341279268265	0.9508	0.9539	0.9524	0.931
41	01:05:32	3	0.0063	0.012212650015795558	0.035783711820840836	0.9509	0.9541	0.9525	0.9316
42	01:07:27	4	0.0063	0.012702115168868879	0.03528450429439545	0.9515	0.9537	0.9526	0.9312
43	01:09:30	1	0.0031	0.011940403030585639	0.03552527725696564	0.9515	0.9537	0.9526	0.9315
44	01:11:27	2	0.0031	0.01123837894109876	0.03555779531598091	0.9508	0.9534	0.9521	0.931
45	01:13:22	3	0.0031	0.012407039262350476	0.03519110381603241	0.952	0.9541	0.953	0.9321
46	01:15:22	4	0.0031	0.011681726773043796	0.035292334854602814	0.9514	0.9547	0.953	0.9321
47	01:17:05	1	0.0016	0.011698782376693822	0.03550172969698906	0.9515	0.9544	0.9529	0.932
48	01:19:04	2	0.0016	0.011639311535920994	0.03529796376824379	0.9518	0.9541	0.9529	0.9321
49	01:21:04	3	0.0016	0.011835579273844266	0.03538653999567032	0.9523	0.9544	0.9533	0.9327
50	01:22:57	4	0.0016	0.011491363035628303	0.03537128120660782	0.952	0.9544	0.9532	0.9327
51	01:24:58	1	0.0008	0.011413498732994569	0.0354243628680706	0.9517	0.9542	0.9529	0.9323
52	01:26:54	2	0.0008	0.01137308729956139	0.03557904064655304	0.952	0.9544	0.9532	0.9324
53	01:28:49	3	0.0008	0.01255260802198974	0.03559194505214691	0.952	0.9546	0.9533	0.9326
54	01:30:52	4	0.0008	0.011189451043622017	0.035592179745435715	0.9517	0.9546	0.9531	0.9324
55	01:32:47	1	0.0004	0.011142390896457518	0.035607025027275085	0.9515	0.9542	0.9529	0.9321
56	01:34:43	2	0.0004	0.011545648333201958	0.03562965989112854	0.9517	0.9544	0.953	0.9323
57	01:36:43	3	0.0004	0.011195127095050154	0.0356270894408226	0.9517	0.9542	0.9529	0.9321
58	01:38:37	4	0.0004	0.012051731093526204	0.03560519218444824	0.9518	0.9544	0.9531	0.9323
59	01:40:35	1	0.0002	0.011418329821342152	0.03558492660522461	0.9518	0.9544	0.9531	0.9323
60	01:42:35	2	0.0002	0.011222229166513905	0.035585641860961914	0.952	0.9544	0.9532	0.9324
61	01:44:28	3	0.0002	0.011504277365423064	0.03559368476271629	0.952	0.9544	0.9532	0.9324
62	01:46:25	4	0.0002	0.011441425478877335	0.035594578832387924	0.9517	0.9544	0.953	0.9321
